file_name,score
7266.pkl,0.00018596278096083552
4173.pkl,1.583302894970147e-18
7736.pkl,3.816844127868535e-06
3339.pkl,3.4845781815562304e-10
7370.pkl,0.13543793559074402
555.pkl,0.0006776064401492476
10078.pkl,3.49879500372019e-11
8481.pkl,0.00011213921243324876
1496.pkl,5.563642275774328e-07
4473.pkl,3.1048955861479044e-05
6713.pkl,1.815988663969332e-15
4176.pkl,2.2008224255940143e-20
7821.pkl,3.2300300702029504e-18
2662.pkl,6.021798615307716e-10
5474.pkl,8.061653016151749e-14
163.pkl,5.09676988114105e-11
1344.pkl,8.131023955740692e-17
1195.pkl,1.5435751265613362e-05
8542.pkl,5.2335686895332856e-09
507.pkl,5.881636323812334e-12
7176.pkl,0.00016068854893092066
8049.pkl,5.13672198110271e-08
4724.pkl,1.2598388821061235e-05
10240.pkl,1.7818916603573598e-05
3931.pkl,3.0246919635601444e-08
1110.pkl,3.8127188872749684e-06
10068.pkl,2.920364333305634e-23
7955.pkl,3.834335439023562e-05
6033.pkl,5.250044648151542e-13
2312.pkl,3.9405730234420844e-08
1991.pkl,0.030119767412543297
7188.pkl,6.932171503493123e-10
2205.pkl,1.2651055384750859e-18
8616.pkl,9.082303332308722e-18
9112.pkl,0.0011771926656365395
10836.pkl,0.0006574036087840796
1015.pkl,0.0012314287014305592
2871.pkl,1.0997049104677359e-10
10944.pkl,1.443846486814948e-09
4180.pkl,7.08024125439799e-11
4698.pkl,1.6994082443488878e-06
4900.pkl,2.138361145123083e-16
6755.pkl,3.1248273444361985e-06
8293.pkl,0.007364048156887293
8643.pkl,3.290184340068062e-17
6405.pkl,2.090534551024703e-10
2571.pkl,7.491390456105043e-14
3013.pkl,2.9265675993705997e-10
6350.pkl,0.00036401336546987295
10870.pkl,1.7514983596811362e-07
7979.pkl,0.02016298845410347
750.pkl,4.315407586830133e-09
4063.pkl,0.005111861974000931
220.pkl,2.078811434103045e-07
10632.pkl,0.0001787524961400777
1234.pkl,8.426011555151547e-10
4838.pkl,1.0060876294194104e-15
11131.pkl,0.3828791379928589
4525.pkl,4.481582206034007e-13
9838.pkl,0.3242851197719574
6936.pkl,2.349299088599821e-10
4430.pkl,2.1267596061597817e-17
10689.pkl,2.515990900064935e-06
6698.pkl,1.51511717791496e-23
953.pkl,3.153311894368502e-14
2903.pkl,0.00034612242598086596
6687.pkl,4.0640671383762594e-10
10725.pkl,2.877804519560201e-19
1703.pkl,3.849884706141893e-06
3389.pkl,2.3712832444289234e-06
10719.pkl,2.9331703288448807e-08
5501.pkl,0.0
4648.pkl,1.0355168362596954e-15
7005.pkl,1.5163685020525008e-05
9223.pkl,4.619685682882846e-07
9061.pkl,2.4274793286593876e-09
1989.pkl,0.9114432334899902
2084.pkl,5.818391582579352e-05
8309.pkl,0.005217013880610466
